responses,contexts,contexts_neg,prompts,logprobs,lambdas,window_length
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-327.01959228515625,1.400000000000004,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-325.4859924316406,-2.3999999999999995,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-323.78106689453125,-2.9,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-323.499755859375,1.3000000000000043,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-321.75970458984375,-2.2999999999999994,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-319.9940490722656,1.2000000000000037,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-319.8238525390625,-2.8,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-318.08953857421875,-2.1999999999999993,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-316.50347900390625,1.1000000000000032,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-315.93341064453125,-2.6999999999999997,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-314.4820861816406,-2.099999999999999,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-313.03076171875,1.0000000000000036,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-312.10107421875,-2.5999999999999996,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-310.96990966796875,-1.9999999999999991,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-309.582763671875,0.9000000000000035,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-308.31793212890625,-2.4999999999999996,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-307.61016845703125,-1.899999999999999,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-306.1846923828125,0.8000000000000034,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-304.57611083984375,-2.3999999999999995,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-304.46728515625,-1.799999999999999,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-302.9459228515625,0.7000000000000033,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-301.57470703125,-1.6999999999999988,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-300.8695373535156,-2.2999999999999994,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-300.18988037109375,0.6000000000000032,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-298.9212341308594,-1.5999999999999988,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-298.12744140625,0.5000000000000031,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-297.1943359375,-2.1999999999999993,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-296.4825439453125,-1.4999999999999987,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-296.44140625,0.400000000000003,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-296.04833984375,1.900000000000004,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-294.8743896484375,0.30000000000000293,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-294.2483825683594,-1.3999999999999986,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-293.54852294921875,-2.099999999999999,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-293.35595703125,0.20000000000000284,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-292.2239074707031,-1.2999999999999985,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-291.8743896484375,0.10000000000000275,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-291.53118896484375,1.8000000000000043,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-290.4376525878906,2.6645352591003757e-15,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-290.4264221191406,-1.1999999999999984,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-289.93218994140625,-1.9999999999999991,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-289.07806396484375,-0.09999999999999742,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-288.888671875,-1.0999999999999983,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-287.8725891113281,-0.1999999999999975,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-287.6575927734375,-0.9999999999999982,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.9392395019531,1.7000000000000046,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.936767578125,-0.2999999999999976,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.7665100097656,-0.8999999999999981,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.34686279296875,-1.899999999999999,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.329833984375,-0.3999999999999977,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-286.2037353515625,-0.799999999999998,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-285.99554443359375,-0.4999999999999978,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-285.9208068847656,-0.699999999999998,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-285.8631591796875,-0.5999999999999979,6
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-282.7958984375,-1.799999999999999,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-282.6934814453125,1.600000000000004,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-279.28387451171875,-1.6999999999999988,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-278.6970520019531,1.5000000000000036,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-275.8175354003906,-1.5999999999999988,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-274.98284912109375,1.400000000000004,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-272.40655517578125,-1.4999999999999987,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-271.550048828125,1.3000000000000043,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-269.0669250488281,-1.3999999999999986,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-268.3786926269531,1.2000000000000037,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-265.8269348144531,-1.2999999999999985,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-265.41522216796875,1.1000000000000032,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-262.7352294921875,-1.1999999999999984,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-262.5916442871094,1.0000000000000036,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-259.8896179199219,0.9000000000000035,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-259.863525390625,-1.0999999999999983,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-257.5047912597656,0.8000000000000034,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-257.3046875,-0.9999999999999982,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-255.94039916992188,0.7000000000000033,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-255.18914794921875,-0.8999999999999981,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-255.06060791015625,0.6000000000000032,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-254.37664794921875,0.5000000000000031,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-253.74105834960938,0.400000000000003,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-253.63278198242188,-0.799999999999998,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-253.1355743408203,0.30000000000000293,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-252.56544494628906,0.20000000000000284,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-252.55409240722656,-0.699999999999998,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-252.04202270507812,0.10000000000000275,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-251.77735900878906,-0.5999999999999979,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-251.58079528808594,2.6645352591003757e-15,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-251.22799682617188,-0.4999999999999978,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-251.2024688720703,-0.09999999999999742,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-250.93592834472656,-0.1999999999999975,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-250.90887451171875,-0.3999999999999977,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-250.82211303710938,-0.2999999999999976,5
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-242.7581329345703,-3.0,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-240.37893676757812,-2.9,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-238.82174682617188,1.900000000000004,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-238.03720092773438,-2.8,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-236.71058654785156,1.8000000000000043,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-235.7288818359375,-2.6999999999999997,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-234.09115600585938,1.7000000000000046,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-233.4554443359375,-2.5999999999999996,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-232.30128479003906,1.600000000000004,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-231.22244262695312,-2.4999999999999996,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-230.6522216796875,1.5000000000000036,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-229.12673950195312,1.400000000000004,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-229.03839111328125,-2.3999999999999995,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-227.7030792236328,1.3000000000000043,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-226.91390991210938,-2.2999999999999994,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-226.35939025878906,1.2000000000000037,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-225.07815551757812,1.1000000000000032,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-224.8601531982422,-2.1999999999999993,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-223.8470916748047,1.0000000000000036,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-222.88717651367188,-2.099999999999999,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-222.658203125,0.9000000000000035,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-221.50601196289062,0.8000000000000034,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-221.00270080566406,-1.9999999999999991,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-220.38681030273438,0.7000000000000033,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-219.29788208007812,0.6000000000000032,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-219.21224975585938,-1.899999999999999,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-218.2375946044922,0.5000000000000031,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-217.52218627929688,-1.799999999999999,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-217.2056121826172,0.400000000000003,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-216.2034912109375,0.30000000000000293,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-215.94593811035156,-1.6999999999999988,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-215.23544311523438,0.20000000000000284,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-214.5102996826172,-1.5999999999999988,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-214.30909729003906,0.10000000000000275,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-213.43624877929688,2.6645352591003757e-15,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-213.25424194335938,-1.4999999999999987,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-212.63217163085938,-0.09999999999999742,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-212.211181640625,-1.3999999999999986,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-211.91346740722656,-0.1999999999999975,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-211.38775634765625,-1.2999999999999985,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-211.2943115234375,-0.2999999999999976,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.78343200683594,-0.3999999999999977,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.76588439941406,-1.1999999999999984,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.38380432128906,-0.4999999999999978,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.32101440429688,-1.0999999999999983,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.0946044921875,-0.5999999999999979,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-210.03094482421875,-0.9999999999999982,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-209.9136505126953,-0.699999999999998,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-209.87579345703125,-0.8999999999999981,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-209.8397979736328,-0.799999999999998,4
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-189.29197692871094,1.900000000000004,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-186.82296752929688,1.8000000000000043,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-184.3022003173828,1.7000000000000046,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-181.9167022705078,1.600000000000004,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-179.59030151367188,1.5000000000000036,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-178.79229736328125,-3.0,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-177.31881713867188,1.400000000000004,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-176.49423217773438,-2.9,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-175.09628295898438,1.3000000000000043,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-174.20294189453125,-2.8,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-172.91552734375,1.2000000000000037,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-171.91851806640625,-2.6999999999999997,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-170.76904296875,1.1000000000000032,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-169.64065551757812,-2.5999999999999996,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-168.64976501464844,1.0000000000000036,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-167.36929321289062,-2.4999999999999996,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-166.5517578125,0.9000000000000035,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-165.30892944335938,1.900000000000004,3
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-165.10433959960938,-2.3999999999999995,2
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-164.4706573486328,0.8000000000000034,1
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-163.62570190429688,1.8000000000000043,3
Bridesmaids.,,,Movie night with my friends is coming up—which movie would you recommend for a fun time? The Bridesmaids or The Hangover? Please just suggest one,-162.84579467773438,-2.2999999999999994,2
